"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MCMA429"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"429"	"429_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA430"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"430"	"430_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA431"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"431"	"431_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA433"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"433"	"433_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA434"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"434"	"434_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA435"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"435"	"435_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA436"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"436"	"436_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA442"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"442"	"442_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA443"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"443"	"443_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA444"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"444"	"444_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA446"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"446"	"446_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA447"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"447"	"447_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA448"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"448"	"448_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA450"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"450"	"450_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA451"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"451"	"451_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA452"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"452"	"452_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA455"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"455"	"455_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA458"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"458"	"458_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA459"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"459"	"459_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA462"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"462"	"462_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA463"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"463"	"463_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA465"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"465"	"465_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"MCMA466"	"Extraction"	"dried samples resuspended in hexanes"	"other"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"VF5-MS 30 m x 0.25 mm, 0.25 μm (Agilent)"	"phenyl-methyl column"	""	""	""	""	"Mass spectrometry"	"positive"	"30-500"	"LECO Pegasus III mass spectrometer"	""	""	"electron ionisation"	""	""	"time-of-flight"	""	""	"466"	"466_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
